id,category,operation,shape,semantic_qualification,numpy_median_ns,cnumpy_median_ns,cnumpy_over_numpy,winner,numpy_cv,cnumpy_cv,numpy_p95_ns,cnumpy_p95_ns
atleast_1d/f64/1000,shape,atleast_1d,1000,N/A,417.94891357421875,16324.755859375,39.05921352867944,NumPy,0.13751158716344403,0.07188956341062291,526.0881042480468,18134.8486328125
atleast_1d/f64/10000,shape,atleast_1d,10000,N/A,451.5380859375,17783.251953125,39.38372533117059,NumPy,0.10785486167587019,0.124551388148053,532.2769165039061,22140.576171875
atleast_1d/f64/100000,shape,atleast_1d,100000,N/A,422.7783203125,19204.150390625,45.4236877057227,NumPy,0.11438757559209661,0.07065453067004097,490.7267761230469,21568.30078125
atleast_1d/f64/1000000,shape,atleast_1d,1000000,N/A,449.67193603515625,16911.962890625,37.609558292076265,NumPy,0.11585694136738124,0.0945627764554148,578.2919311523438,19484.619140624996
atleast_2d/f64/1000,shape,atleast_2d,1000,N/A,623.822021484375,18399.267578125,29.494418190534894,NumPy,0.08297495862359545,0.14932014645325073,755.751953125,24386.640625
atleast_2d/f64/10000,shape,atleast_2d,10000,N/A,660.870361328125,18621.77734375,28.177655457761112,NumPy,0.06790617347016757,0.08696873451003624,740.5206298828125,21415.8203125
atleast_2d/f64/100000,shape,atleast_2d,100000,N/A,716.8701171875,20281.298828125,28.29145523277594,NumPy,0.06923467167525608,0.10528373204798838,789.8529052734375,22845.737304687496
atleast_2d/f64/1000000,shape,atleast_2d,1000000,N/A,778.814697265625,19465.0390625,24.993158360827895,NumPy,0.1923123764920363,0.10795746162832603,1150.1217651367188,22758.6279296875
atleast_3d/f64/1000,shape,atleast_3d,1000,N/A,796.954345703125,18836.81640625,23.63600438069126,NumPy,0.08695958098539362,0.16012516507712654,895.3958129882811,23458.291015625
atleast_3d/f64/10000,shape,atleast_3d,10000,N/A,850.006103515625,23650.048828125,27.82338706782034,NumPy,0.1632373125649951,0.26165652777816684,1091.557922363281,32475.13183593749
atleast_3d/f64/100000,shape,atleast_3d,100000,N/A,806.1126708984375,20122.0703125,24.96185835917122,NumPy,0.155041825547836,0.23737243509927594,1000.6698608398436,31675.771484374993
atleast_3d/f64/1000000,shape,atleast_3d,1000000,N/A,843.8507080078125,24266.69921875,28.757100027846793,NumPy,0.11809056922130909,0.1300886753823639,1000.1031494140624,27681.62109375
average/f64/1000,reduction,average,1000,numpy-1.25/task6-reduction-v1,14334.66796875,24293.1640625,1.6947141095601108,NumPy,0.2197917985531293,0.13088851343264685,19908.613281249996,30140.244140625
average/f64/10000,reduction,average,10000,numpy-1.25/task6-reduction-v1,21956.25,41540.625,1.8919726729291204,NumPy,0.11813827273722771,0.15241756316208008,26087.34375,53582.44140625
average/f64/100000,reduction,average,100000,numpy-1.25/task6-reduction-v1,163210.15625,207760.15625,1.272960954291103,NumPy,0.08794421177813809,0.14647004016182902,193101.95312499997,260545.15624999997
average/f64/1000000,reduction,average,1000000,numpy-1.25/task6-reduction-v1,4664700.0,4825300.0,1.0344287949921753,NumPy,0.12144591404505706,0.07309269548412808,5943673.75,5521297.5
bitwise_and/i64/1000,bitwise,bitwise_and,1000,N/A,1185.72998046875,16333.49609375,13.775055335358006,NumPy,0.08229868433121199,0.04776441773604745,1355.3207397460938,17576.1572265625
bitwise_and/i64/10000,bitwise,bitwise_and,10000,N/A,5590.6982421875,24304.296875,4.34727395794668,NumPy,0.11673274668102772,0.08460755692753932,7135.844726562498,27935.175781249996
bitwise_and/i64/100000,bitwise,bitwise_and,100000,N/A,72963.0859375,142635.9375,1.9549054931994185,NumPy,0.05852050276333363,0.10132209305161925,79365.33203125,166832.6171875
bitwise_and/i64/1000000,bitwise,bitwise_and,1000000,N/A,2623375.0,2889612.5,1.1014866345833134,NumPy,0.04917898603036675,0.06305894989459009,2806707.5,3276922.5
bitwise_or/i64/1000,bitwise,bitwise_or,1000,N/A,1207.598876953125,17575.341796875,14.55395672544768,NumPy,0.09209726126904304,0.09673297640050617,1432.0391845703125,20459.5166015625
bitwise_or/i64/10000,bitwise,bitwise_or,10000,N/A,6622.7783203125,26905.76171875,4.062609439338812,NumPy,0.09348850391533838,0.12351022685511483,7437.96875,31686.376953125
bitwise_or/i64/100000,bitwise,bitwise_or,100000,N/A,83392.578125,154402.734375,1.8515164999882896,NumPy,0.06810230199210113,0.08555019343343075,88691.25,184062.5390625
bitwise_or/i64/1000000,bitwise,bitwise_or,1000000,N/A,2504256.25,3169037.5,1.2654605534078232,NumPy,0.05122102560191088,0.2019320091535554,2673967.5,4476145.0
bitwise_xor/i64/1000,bitwise,bitwise_xor,1000,N/A,1146.484375,18311.62109375,15.971976149914822,NumPy,0.18459767200944505,0.12459969068003998,1523.395385742187,23404.306640625
bitwise_xor/i64/10000,bitwise,bitwise_xor,10000,N/A,5549.8779296875,29728.80859375,5.356659906828609,NumPy,0.0659415293252067,0.09435564372131654,6213.4033203125,33947.880859375
bitwise_xor/i64/100000,bitwise,bitwise_xor,100000,N/A,76456.0546875,158685.9375,2.075518258803694,NumPy,0.11765220588914356,0.12286087937528879,92150.078125,190123.90625
bitwise_xor/i64/1000000,bitwise,bitwise_xor,1000000,N/A,2689362.5,2733575.0,1.0164397696480114,NumPy,0.11338837937077696,0.1059271392071899,3366475.0,3494093.75
bridge/c_contiguous_cached,bridge,c_contiguous_cached,scalar,N/A,107.7911376953125,7157.0068359375,66.39698762775686,NumPy,0.1224119638834039,0.10783913592219437,128.7285614013672,9038.99169921875
bridge/f_contiguous_cached,bridge,f_contiguous_cached,scalar,N/A,101.39083862304688,6648.2177734375,65.57020203920388,NumPy,0.13472794925174916,0.09314232427629987,125.54759979248047,7960.4931640625
bridge/nbytes_cached,bridge,nbytes_cached,scalar,N/A,80.74455261230469,6246.5576171875,77.36196950870944,NumPy,0.08936838018876568,0.06427128747579014,92.04793930053711,6713.57421875
bridge/property_cached,bridge,property_cached,scalar,N/A,72.18513488769531,6123.681640625,84.83300128415834,NumPy,0.15783475425529112,0.12055650394549905,98.81675720214844,7524.2333984375
bridge/property_call,bridge,property_call,scalar,N/A,78.00941467285156,14099.0234375,180.73489586644303,NumPy,0.10890314549736789,0.0750589259778693,92.15404510498047,16096.381835937498
bridge/static_add_call,bridge,static_add_call,scalar,N/A,653.7841796875,8389.404296875,12.832069905522985,NumPy,0.1415061361053992,0.1011156589250034,831.4089965820311,9979.12109375
choice_weighted/f64/1000000,random,choice_weighted,1000000,numpy-1.25/task10-random-choice-v1,37537700.0,29847400.0,0.7951312946717567,cnumpy,0.08483417759556817,0.06519350123621347,40337120.0,33268349.999999996
cholesky/f64/128x128,linalg,cholesky,128x128,N/A,2464300.0,213250.0,0.08653573022765085,cnumpy,0.07277478716632366,0.10653401662459386,2721366.25,255299.453125
cholesky/f64/32x32,linalg,cholesky,32x32,N/A,8376.6845703125,22782.421875,2.7197421227656515,NumPy,0.1083812491056321,0.06480361762459676,9884.86328125,25337.978515625
cholesky/f64/512x512,linalg,cholesky,512x512,N/A,18389950.0,7784750.0,0.42331545218991895,cnumpy,0.08597558191358627,0.08501520113197461,21572305.0,8697437.5
compress/f64/1000,indexing,compress,1000,N/A,5263.916015625,26304.4921875,4.997133713649645,NumPy,0.06987622736589327,0.06566976740003495,5649.27734375,29636.11328125
compress/f64/10000,indexing,compress,10000,N/A,29648.046875,119753.515625,4.039170476554368,NumPy,0.055975083242790664,0.08456495259273454,32162.98828125,137749.1015625
compress/f64/100000,indexing,compress,100000,N/A,262760.9375,999062.5,3.8021728400934784,NumPy,0.10730050928017305,0.12922473994880576,313425.62499999994,1312415.3125
compress/f64/1000000,indexing,compress,1000000,N/A,4361787.5,12757500.0,2.9248329956468533,NumPy,0.08471634119020978,0.1142531117764656,4742831.25,15314495.0
compress_axis0_block/f64/512x512/axis0,indexing,compress_axis0_block,512x512,N/A,358468.75,366371.875,1.0220469008804811,NumPy,0.08903963493706148,0.13085396919542058,396277.5,491221.71874999994
compress_axis0_strided/f64/512x512/axis0,indexing,compress_axis0_strided,512x512,N/A,1629156.25,1505281.25,0.923963708207853,cnumpy,0.10288651518446812,0.11648768940529722,1987258.75,1651591.8749999998
concatenate/f64/128x128/axis0,shape,concatenate,128x128,N/A,9876.3671875,30966.9921875,3.13546384005379,NumPy,0.10228900628523693,0.11312187547438049,10775.759277343748,37414.453125
concatenate/f64/32x32/axis0,shape,concatenate,32x32,N/A,1896.22802734375,19198.046875,10.124334519985322,NumPy,0.1475346719841938,0.11974441043074309,2521.875610351562,23885.205078125
concatenate/f64/512x512/axis0,shape,concatenate,512x512,N/A,914550.0,1053981.25,1.1524588595484118,NumPy,0.09056595051011367,0.09899313343162701,1099114.375,1239560.3125
convolve/f64/1000,signal,convolve,1000,N/A,4250.09765625,18152.83203125,4.271156453206498,NumPy,0.1163451726496757,0.12763931194496675,5038.37646484375,22576.767578125
convolve/f64/10000,signal,convolve,10000,N/A,25355.46875,36202.44140625,1.4277961793252196,NumPy,0.13986598381160004,0.09258017200084011,31731.142578124996,43417.119140625
convolve/f64/100000,signal,convolve,100000,N/A,215452.34375,299559.375,1.3903741764238757,NumPy,0.07179698627105423,0.10196141198594398,242502.65625,350426.71874999994
convolve/f64/1000000,signal,convolve,1000000,N/A,3458350.0,4093650.0,1.1837003195165325,NumPy,0.06586924219262796,0.1337964712463219,3850052.5,4812140.0
copy/f64/1000,shape,copy,1000,N/A,584.979248046875,16981.982421875,29.03005957659923,NumPy,0.09939888167866986,0.06879534021877395,684.4168090820312,18683.9892578125
copy/f64/10000,shape,copy,10000,N/A,2768.37158203125,18641.89453125,6.733884516171704,NumPy,0.0662449781794941,0.13099075966176463,3051.79443359375,23927.304687499996
copy/f64/100000,shape,copy,100000,N/A,43000.390625,93592.1875,2.1765427276278375,NumPy,0.11766429253635258,0.06337501650687383,50110.3125,101559.375
copy/f64/1000000,shape,copy,1000000,N/A,2160556.25,2056537.5,0.9518555696015782,cnumpy,0.10800690312054881,0.05881533500868417,2606960.625,2326245.0
correlate/f64/1000,signal,correlate,1000,N/A,3522.4853515625,21592.724609375,6.129968602934551,NumPy,0.07546606452786023,0.07049783682565267,3750.528564453125,23148.65234375
correlate/f64/10000,signal,correlate,10000,N/A,28601.3671875,41654.1015625,1.45636749772943,NumPy,0.1350749337941659,0.08721101386015088,32585.91796875,50736.3671875
correlate/f64/100000,signal,correlate,100000,N/A,268367.1875,298598.4375,1.112648831183954,NumPy,0.10019356999010462,0.09106952804177684,313910.9375,359950.3125
